pl_name,disc_year,discoverymethod
"Kepler-1167 b",2016,"Transit"
"Kepler-1740 b",2021,"Transit"
"Kepler-1581 b",2016,"Transit"
"Kepler-644 b",2016,"Transit"
"Kepler-1752 b",2021,"Transit"
"Kepler-280 c",2014,"Transit"
"Kepler-1208 b",2016,"Transit"
"Kepler-263 c",2014,"Transit"
"Kepler-1101 b",2016,"Transit"
"HD 168746 b",2002,"Radial Velocity"
"TOI-2406 b",2021,"Transit"
"HD 18599 b",2022,"Transit"
"Kepler-560 b",2016,"Transit"
"Kepler-150 d",2014,"Transit"
"Kepler-498 b",2016,"Transit"
"Kepler-817 b",2016,"Transit"
"Kepler-937 b",2016,"Transit"
"K2-10 b",2015,"Transit"
"Kepler-571 b",2016,"Transit"
"Kepler-1458 b",2016,"Transit"
"Kepler-1600 c",2021,"Transit"
"Kepler-221 d",2014,"Transit"
"Kepler-626 b",2016,"Transit"
"Kepler-1549 b",2016,"Transit"
"K2-62 c",2016,"Transit"
"Kepler-1149 b",2016,"Transit"
"Kepler-1288 b",2016,"Transit"
"Kepler-128 b",2013,"Transit"
"Kepler-1245 b",2016,"Transit"
"Kepler-1068 b",2016,"Transit"
"Kepler-150 e",2014,"Transit"
"Kepler-272 c",2014,"Transit"
"Kepler-152 c",2014,"Transit"
"Kepler-1506 b",2016,"Transit"
"CoRoT-3 b",2008,"Transit"
"HD 205739 b",2008,"Radial Velocity"
"HD 224693 b",2006,"Radial Velocity"
"HD 16417 b",2008,"Radial Velocity"
"HD 19994 b",2003,"Radial Velocity"
"GJ 179 b",2009,"Radial Velocity"
"GQ Lup b",2004,"Imaging"
"HD 37605 b",2004,"Radial Velocity"
"HD 33283 b",2006,"Radial Velocity"
"HD 9446 b",2009,"Radial Velocity"
"HD 134987 c",2009,"Radial Velocity"
"HD 110014 b",2009,"Radial Velocity"
"HD 79498 b",2011,"Radial Velocity"
"HD 45652 b",2008,"Radial Velocity"
"HIP 79431 b",2009,"Radial Velocity"
"GJ 876 b",1998,"Radial Velocity"
"HD 86226 b",2009,"Radial Velocity"
"HD 47186 c",2008,"Radial Velocity"
"HD 148156 b",2009,"Radial Velocity"
"HD 86226 c",2020,"Transit"
"HIP 14810 c",2006,"Radial Velocity"
"HIP 14810 b",2005,"Radial Velocity"
"GJ 876 d",2005,"Radial Velocity"
"GJ 876 e",2010,"Radial Velocity"
"gam1 Leo b",2009,"Radial Velocity"
"HD 156411 b",2009,"Radial Velocity"
"HD 8535 b",2010,"Radial Velocity"
"HD 37605 c",2012,"Radial Velocity"
"HD 1605 c",2015,"Radial Velocity"
"BD+20 2457 b",2009,"Radial Velocity"
"HD 240210 b",2009,"Radial Velocity"
"CoRoT-17 b",2011,"Transit"
"HD 132563 b",2011,"Radial Velocity"
"HD 55696 b",2018,"Radial Velocity"
"HD 148164 b",2018,"Radial Velocity"
"24 Sex c",2010,"Radial Velocity"
"HD 22781 b",2011,"Radial Velocity"
"HD 148164 c",2018,"Radial Velocity"
"HD 90156 b",2009,"Radial Velocity"
"HD 45350 b",2004,"Radial Velocity"
"MOA-2009-BLG-266L b",2011,"Microlensing"
"Kepler-595 c",2020,"Transit"
"Kepler-595 b",2016,"Transit"
"HD 177830 c",2010,"Radial Velocity"
"OGLE-TR-111 b",2004,"Transit"
"PSR B1257+12 b",1994,"Pulsar Timing"
"PSR B1257+12 d",1992,"Pulsar Timing"
"HD 21749 c",2019,"Transit"
"eps Ind A b",2019,"Radial Velocity"
"CoRoT-18 b",2011,"Transit"
"Kepler-45 b",2011,"Transit"
"WASP-23 b",2010,"Transit"
"HD 107148 b",2005,"Radial Velocity"
"SWEEPS-11 b",2006,"Transit"
"OGLE-TR-211 b",2007,"Transit"
"Lupus-TR-3 b",2007,"Transit"
"OGLE-2005-BLG-390L b",2005,"Microlensing"
"HN Peg b",2006,"Imaging"
"MOA-2009-BLG-387L b",2010,"Microlensing"
"GJ 674 b",2007,"Radial Velocity"
"CoRoT-11 b",2010,"Transit"
"2MASS J04414489+2301513 b",2010,"Imaging"
"GJ 3634 b",2010,"Radial Velocity"
"CoRoT-13 b",2010,"Transit"
"OGLE-TR-10 b",2004,"Transit"
"HD 27442 b",2000,"Radial Velocity"
"GJ 3021 b",2000,"Radial Velocity"
"CoRoT-8 b",2010,"Transit"
"Kepler-18 c",2011,"Transit"
"Kepler-18 b",2011,"Transit"
"HD 46375 b",2000,"Radial Velocity"
"HD 221287 b",2007,"Radial Velocity"
"HD 33564 b",2005,"Radial Velocity"
"HD 189733 b",2005,"Radial Velocity"
"Kepler-4 b",2009,"Transit"
"WASP-38 b",2010,"Transit"
"Kepler-30 c",2012,"Transit"
"Kepler-18 d",2011,"Transit"
"HAT-P-37 b",2011,"Transit"
"HD 129445 b",2009,"Radial Velocity"
"Kepler-419 c",2014,"Transit Timing Variations"
"HD 70573 b",2007,"Radial Velocity"
"HD 47536 b",2002,"Radial Velocity"
"WASP-67 b",2012,"Transit"
"CoRoT-14 b",2010,"Transit"
"MOA-2008-BLG-310L b",2009,"Microlensing"
"Kepler-419 b",2014,"Transit"
"WASP-43 b",2011,"Transit"
"HD 11964 c",2008,"Radial Velocity"
"CoRoT-6 b",2009,"Transit"
"WASP-31 b",2010,"Transit"
"HD 108236 f",2021,"Transit"
"Kepler-59 c",2012,"Transit"
"WASP-8 c",2013,"Radial Velocity"
"HD 154857 c",2014,"Radial Velocity"
"KOI-217 b",2010,"Transit"
"Kepler-416 b",2014,"Transit Timing Variations"
"Kepler-37 e",2014,"Transit Timing Variations"
"HAT-P-22 b",2010,"Transit"
"CHXR 73 b",2006,"Imaging"
"FU Tau b",2008,"Imaging"
"GJ 667 C b",2012,"Radial Velocity"
"HD 187123 b",1998,"Radial Velocity"
"HAT-P-18 b",2010,"Transit"
"Kepler-59 b",2012,"Transit"
"Kepler-53 b",2012,"Transit"
"HD 82943 c",2003,"Radial Velocity"
"HD 82943 b",2003,"Radial Velocity"
"UZ For b",2011,"Eclipse Timing Variations"
"Kepler-69 b",2013,"Transit"
"HIP 5158 c",2011,"Radial Velocity"
"HU Aqr AB b",2011,"Eclipse Timing Variations"
"Kepler-58 c",2012,"Transit"
"Kepler-30 b",2012,"Transit"
"Kepler-65 d",2012,"Transit"
