pl_name,pl_bmassj,pl_bmasse,pl_orbper,discoverymethod
"Kepler-1167 b",0.01120000,3.57000000,1.00393373900,"Transit"
"Kepler-1740 b",0.03470000,11.00000000,8.17240047500,"Transit"
"Kepler-1581 b",0.00137000,0.43700000,6.28385491000,"Transit"
"Kepler-644 b",0.03170000,10.10000000,3.17391710300,"Transit"
"Kepler-1752 b",0.05900000,18.70000000,56.35850143000,"Transit"
"Kepler-280 c",0.01480000,4.70000000,4.80709100000,"Transit"
"Kepler-1208 b",0.01890000,5.99000000,11.08507637000,"Transit"
"Kepler-263 c",0.02100000,6.66000000,47.33277300000,"Transit"
"Kepler-1101 b",0.02100000,6.66000000,81.31510590000,"Transit"
"HD 168746 b",0.27000000,85.81410000,6.40400000000,"Radial Velocity"
"TOI-2406 b",0.04908309,15.60000000,3.07668910000,"Transit"
"HD 18599 b",0.07582708,24.10000000,4.13743540000,"Transit"
"Kepler-560 b",0.01130000,3.61000000,18.47764449000,"Transit"
"Kepler-150 d",0.02580000,8.20000000,12.56093000000,"Transit"
"Kepler-498 b",0.02970000,9.43000000,9.61375356000,"Transit"
"Kepler-817 b",0.18900000,60.20000000,3.99010622900,"Transit"
"Kepler-937 b",0.04200000,13.40000000,67.66882700000,"Transit"
"K2-10 b",0.07928807,25.20000000,19.30553000000,"Transit"
"Kepler-571 b",0.02350000,7.46000000,4.79859938800,"Transit"
"Kepler-1458 b",0.02530000,8.05000000,47.98727640000,"Transit"
"Kepler-1600 c",0.01390000,4.43000000,7.29804992700,"Transit"
"Kepler-221 d",0.01135833,3.61000000,10.04156000000,"Transit"
"Kepler-626 b",0.01840000,5.86000000,14.48585199000,"Transit"
"Kepler-1549 b",0.02240000,7.13000000,214.88654500000,"Transit"
"K2-62 c",0.01450000,4.62000000,16.19697000000,"Transit"
"Kepler-1149 b",0.00839000,2.67000000,3.73089898000,"Transit"
"Kepler-1288 b",0.00459000,1.46000000,2.76122421000,"Transit"
"Kepler-128 b",0.01192467,3.79000000,15.00000000000,"Transit"
"Kepler-1245 b",0.00839000,2.67000000,4.35409304000,"Transit"
"Kepler-1068 b",0.04030000,12.80000000,16.92344113000,"Transit"
"Kepler-150 e",0.03120000,9.91000000,30.82655700000,"Transit"
"Kepler-272 c",0.30800000,97.80000000,6.05734200000,"Transit"
"Kepler-152 c",0.01980000,6.30000000,88.25505500000,"Transit"
"Kepler-1506 b",0.00724000,2.30000000,14.03291540000,"Transit"
"CoRoT-3 b",21.66000000,6883.91000000,4.25680000000,"Transit"
"HD 205739 b",1.37000000,435.41000000,279.80000000000,"Radial Velocity"
