pl_name,pl_bmassj,pl_orbper,discoverymethod
"HD 80653 b",0.01765103,0.71957926000,"Transit"
"K2-312 c",5.29000000,871.32000000000,"Radial Velocity"
"XO-2 S d",3.71000000,4696.00000000000,"Radial Velocity"
"Kepler-1808 b",0.02960000,23.34040070000,"Transit"
"Kepler-418 b",1.10000000,86.67856000000,"Transit"
"Kepler-249 d",0.00972000,15.36845900000,"Transit"
"OGLE-2017-BLG-0364L b",0.23849347,,"Microlensing"
"Kepler-1408 b",0.00201000,2.99793191000,"Transit"
"HR 8799 b",7.00000000,170000.00000000000,"Imaging"
"Kepler-500 b",0.02260000,8.50832439800,"Transit"
"CoRoT-17 b",2.43000000,3.76810000000,"Transit"
"OGLE-2017-BLG-0373L b",0.40100000,,"Microlensing"
"CoRoT-7 d",0.05393476,8.96600000000,"Radial Velocity"
"Kepler-1685 b",0.02250000,20.49050000000,"Transit"
"Kepler-296 b",0.01010000,10.86438400000,"Transit"
"TOI-1744.01",0.02410000,22.34170292700,"Transit"
"KMT-2021-BLG-1547L b",1.47000000,,"Microlensing"
"TOI-4377 b",0.95700000,4.37808100000,"Transit"
"HD 64114 b",0.05600478,45.79100000000,"Radial Velocity"
"TOI-858 B b",1.10000000,3.27971780000,"Transit"
"HD 27969 b",4.80000000,654.50000000000,"Radial Velocity"
"Kepler-1947 b",0.00317000,6.96363019900,"Transit"
"Kepler-81 d",0.00606000,20.83784600000,"Transit"
"Kepler-900 b",0.01570000,6.99130860000,"Transit"
"TOI-1296 b",0.29984733,3.94437360000,"Transit"
"HD 24040 b",5.00000000,3668.00000000000,"Radial Velocity"
"Kepler-638 b",0.01260000,6.07972888000,"Transit"
"Kepler-375 b",0.00849000,12.12593400000,"Transit"
"Kepler-1590 b",0.00489000,7.61760804000,"Transit"
"Kepler-666 b",0.02000000,4.49876092000,"Transit"
"Kepler-586 b",0.02580000,2.10472218400,"Transit"
"HD 180053 b",2.19400000,213.72000000000,"Radial Velocity"
"Kepler-1827 b",0.01290000,3.70061993600,"Transit"
"Kepler-83 b",0.00925027,9.77000000000,"Transit"
"TOI-1410 c",0.08495150,47.56000000000,"Radial Velocity"
"Kepler-578 b",0.01470000,1.61688369600,"Transit"
"TOI-3807 b",1.04000000,2.89897270000,"Transit"
"K2-392 b",0.01280000,15.39872300000,"Transit"
"UKIRT-2017-BLG-001L b",1.28000000,,"Microlensing"
"Kepler-239 b",0.01900000,11.76305100000,"Transit"
"Kepler-1812 b",0.01890000,7.16521978400,"Transit"
"HD 191939 c",0.02517081,28.57974300000,"Transit"
"Kepler-931 b",0.00733000,8.03755877000,"Transit"
"Kepler-501 c",0.01090000,3.62276005700,"Transit"
"TIC 38825265 b",0.01710000,3.31336980985,"Transit"
"Kepler-1664 b",0.02970000,14.38680000000,"Transit"
"WASP-105 b",1.80000000,7.87288000000,"Transit"
"Kepler-58 b",0.11169549,10.21849540000,"Transit"
"GJ 887 b",0.01227077,9.26190000000,"Radial Velocity"
"TOI-1759 b",0.03398060,18.85019000000,"Transit"
"HIP 70849 b",4.50000000,3649.00000000000,"Radial Velocity"
