# Global oceanic surface heat flow, corrected and binned in 2.5 Myr age windows.
# Source: Richards, Hoggard, Cowton & White (2018), JGR Solid Earth, 123, 9136-9161,
# doi:10.1029/2018JB015998; deposited data doi:10.17863/CAM.26215 (CC BY 4.0),
# file heatflow/2.5_Ma_binned_hf_stats_kappa_0.25_global.dat, converted from W/m^2 to mW/m^2.
age_myr,n_points,q_mean_mw_m2,q_median_mw_m2,q_lq_mw_m2,q_uq_mw_m2
1.4,1,359.55,327.00,297.40,421.70
3.5,1,253.90,232.10,209.60,298.20
6.5,1,210.35,201.40,144.60,276.10
12.9,1,139.05,136.90,134.70,143.40
18.2,1,120.15,120.40,115.00,125.30
19.8,1,110.25,109.70,107.50,113.00
21.3,1,119.70,118.90,115.60,123.80
22.8,1,114.20,114.40,111.10,117.30
24.6,1,107.60,107.70,105.50,109.70
26.25,73,103.14,99.22,79.76,122.45
28.75,47,85.79,86.80,66.53,105.74
31.25,35,98.31,99.43,70.08,108.10
33.75,59,96.78,85.25,74.45,107.86
36.25,41,78.69,76.97,42.68,97.07
38.75,34,71.82,77.26,65.05,82.55
41.25,29,73.55,70.06,63.71,86.98
43.75,26,84.68,69.34,63.12,83.96
46.25,33,69.21,69.41,54.98,79.93
48.75,33,70.07,70.60,52.89,85.64
51.25,34,72.98,68.88,45.29,77.18
53.75,38,63.83,65.02,51.04,75.92
56.25,19,68.25,64.49,57.75,77.76
58.75,22,63.83,59.79,44.67,72.68
61.25,18,58.71,65.12,43.50,72.26
63.75,24,97.21,68.48,49.70,87.41
66.25,66,61.69,59.59,42.91,67.66
68.75,80,66.23,65.42,54.38,75.63
71.25,73,65.45,65.63,47.50,74.81
73.75,64,63.33,59.69,47.18,73.86
76.25,66,81.27,60.36,50.79,74.79
78.75,58,68.26,65.43,53.77,80.28
81.25,57,67.99,58.51,50.41,74.12
83.75,89,63.60,59.34,49.73,68.84
86.25,69,60.07,58.35,47.40,70.15
88.75,78,66.00,55.21,47.53,70.63
91.25,63,57.92,57.24,46.92,67.42
93.75,55,56.53,57.78,50.50,66.94
96.25,67,62.90,57.42,49.61,66.45
98.75,67,59.57,56.53,51.15,64.02
101.25,57,60.82,56.17,48.19,67.58
103.75,60,60.48,56.73,49.84,64.52
106.25,76,55.09,54.17,49.09,59.54
108.75,69,61.10,57.26,50.39,62.84
111.25,52,58.88,57.26,51.05,62.99
113.75,47,60.24,60.01,45.12,67.99
116.25,51,54.05,53.98,42.87,66.72
118.75,74,55.32,53.06,47.64,61.77
121.25,60,59.16,53.91,46.86,62.88
123.75,69,56.11,54.77,49.80,60.57
126.25,52,56.41,52.87,46.73,59.33
128.75,58,51.57,47.58,36.66,58.24
131.25,42,54.62,53.38,44.73,64.45
133.75,45,53.04,49.19,42.97,57.66
136.25,30,58.87,52.22,43.59,58.75
138.75,37,57.69,55.52,48.33,68.60
141.25,39,47.91,48.66,41.10,53.05
143.75,32,60.12,54.34,42.76,62.66
146.25,40,54.21,52.87,47.63,57.35
148.75,37,55.12,50.33,45.01,52.45
151.25,24,55.42,52.98,47.88,65.41
153.75,19,57.84,50.63,45.06,60.00
156.25,24,60.81,59.02,46.93,83.88
158.75,22,56.83,51.36,43.90,63.59
161.25,10,51.44,50.15,46.55,58.99
163.75,22,56.40,50.38,46.25,66.70
166.25,11,51.53,49.44,42.05,53.64
168.75,7,49.66,54.59,45.08,55.47
171.25,13,53.21,54.93,46.08,57.13
173.75,13,60.66,59.18,49.61,67.91
176.25,9,52.36,52.08,47.84,55.69
178.75,6,48.01,47.97,45.06,51.39
181.25,12,59.53,59.39,49.27,71.16
183.75,25,57.85,54.56,47.50,60.24
186.25,24,56.34,56.59,46.12,62.70
188.75,16,52.07,51.47,47.82,54.61
191.25,16,87.84,69.97,54.66,90.51
193.75,15,60.33,54.03,50.36,72.07
196.25,16,77.22,70.08,59.03,98.73
198.75,10,56.54,53.79,46.80,59.14
243.75,8,69.52,36.04,17.77,53.54
266.25,8,38.40,36.68,32.46,41.66
