#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-15T12:46:09 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-15T12:46:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/154/109/table2&-out.max=100000&-out=KOI,Per,Rad,DProb,TProb,Weight,M15	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51540109
#Name: J/AJ/154/109
#Title: California-Kepler Survey (CKS). III. Planet radii (Fulton+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/aj/154/109	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/154/109	    IVOID of underlying data collection
#INFO	creator=Fulton B.J.	    First author or institution
#INFO	cites=bibcode:2017AJ....154..109F	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/154/109	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51540109	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-05-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_AJ_154_109_table2:
#Name: J/AJ/154/109/table2
#Title: *Planet detection statistics
#Column	KOI	(F8.2)	Kepler Object Identifier (KOI) of the candidate planet	[ucd=meta.id;meta.main]
#Column	Per	(F11.8)	Kepler candidate orbital period	[ucd=time.period]
#Column	Rad	(F5.2)	Candidate planet radius (R_p_)	[ucd=phys.size.radius]
#Column	DProb	(F6.3)	Detection probability (P_det_)	[ucd=stat.fit.goodness]
#Column	TProb	(F7.4)	Transit probability	[ucd=stat.fit.goodness]
#Column	Weight	(F9.2)	Mean total search completeness (1/w_i_)	[ucd=stat.weight]
#Column	M15	(I3)	Indicates a planet in the NASA's Exoplanet Archive Q1-Q16 KOI catalog (Mullally et al. 2015, Cat. J/ApJS/217/31)	[ucd=meta.number]
KOI	Per	Rad	DProb	TProb	Weight	M15
 	d	Rgeo	 	 	 	
--------	-----------	-----	------	-------	---------	---
00002.01	 2.20473536	13.41	 1.000	 0.1440	     6.94	  0
00003.01	 4.88780271	 5.11	 1.000	 0.0497	    20.14	  0
00007.01	 3.21366863	 4.13	 1.000	 0.1126	     8.88	  0
00010.01	 3.52249857	13.39	 1.000	 0.0905	    11.06	  0
00017.01	 3.23469931	15.04	 1.000	 0.1064	     9.40	  0
00018.01	 3.54846540	13.94	 1.000	 0.1044	     9.58	  0
00020.01	 4.43796303	21.41	 1.000	 0.0985	    10.15	  0
00022.01	 7.89144847	14.20	 1.000	 0.0556	    17.98	  0
00041.01	12.81588378	 2.37	 0.982	 0.0455	    22.37	  0
00041.02	 6.88706037	 1.35	 0.909	 0.0689	    15.98	  0
00041.03	35.33308660	 1.54	 0.819	 0.0232	    52.76	  0
00042.01	17.83368211	 2.38	 0.975	 0.0300	    34.16	  0
00046.01	 3.48768943	 5.70	 1.000	 0.1089	     9.18	  0
00046.02	 6.02979518	 1.18	 0.870	 0.0756	    15.20	  0
00049.01	 8.31378306	 3.05	 0.997	 0.0440	    22.83	  0
00063.01	 9.43415109	 6.09	 1.000	 0.0353	    28.33	  0
00069.01	 4.72673947	 1.67	 0.962	 0.0587	    17.70	  0
00070.01	10.85409783	 3.10	 0.996	 0.0330	    30.47	  1
00070.03	77.61159870	 2.69	 0.945	 0.0089	   119.15	  1
00070.05	19.57762860	 1.02	 0.547	 0.0222	    82.23	  1
00070.04	 6.09853672	 0.84	 0.593	 0.0484	    34.85	  1
00072.01	 0.83749133	 1.46	 0.985	 0.2058	     4.93	  0
00072.02	45.29431717	 2.30	 0.937	 0.0144	    74.15	  0
00082.01	16.14569077	 2.56	 0.984	 0.0216	    47.09	  0
00082.03	27.45372940	 0.80	 0.177	 0.0151	   372.23	  0
00082.04	 7.07136076	 0.59	 0.133	 0.0374	   201.33	  0
00082.05	 5.28695437	 0.50	 0.072	 0.0454	   305.56	  0
00084.01	 9.28696883	 2.40	 0.988	 0.0357	    28.37	  0
00085.01	 5.85993872	 2.56	 0.995	 0.0683	    14.73	  0
00085.02	 2.15490904	 1.50	 0.969	 0.1330	     7.76	  0
00092.01	65.70460002	 2.94	 0.967	 0.0111	    93.11	  1
00094.04	 3.74317556	 1.63	 0.966	 0.0892	    11.61	  1
00094.02	10.42367777	 3.85	 0.999	 0.0451	    22.22	  1
