# Temperature-pressure profiles of seven solar-system atmospheres,
# digitized from the vector curves of Robinson & Catling (2014),
# Nature Geoscience 7, 12-15, their Fig. 1 (arXiv 1312.6859).
# Axes calibrated from the printed major ticks; residuals 0.011 K
# and 6e-5 dex. Rows run from the top of each profile downward.
body,T_K,P_bar
Venus,175.3,1.0000e-03
Venus,176.0,1.0703e-03
Venus,184.0,1.7606e-03
Venus,194.0,2.8396e-03
Venus,203.0,4.4708e-03
Venus,211.0,6.9083e-03
Venus,217.0,1.0542e-02
Venus,223.0,1.5901e-02
Venus,228.0,2.3792e-02
Venus,233.0,3.5188e-02
Venus,237.0,5.1811e-02
Venus,236.0,7.6016e-02
Venus,244.0,1.0994e-01
Venus,252.0,1.5901e-01
Venus,263.0,2.2692e-01
Venus,274.0,3.1810e-01
Venus,291.0,4.3997e-01
Venus,312.0,5.9509e-01
Venus,332.0,7.9065e-01
Venus,349.0,1.0337e+00
Venus,350.0,1.0495e+00
Earth,275.3,1.0000e-03
Earth,276.2,1.0684e-03
Earth,272.5,1.4990e-03
Earth,266.4,2.1032e-03
Earth,259.8,2.9482e-03
Earth,253.4,4.1365e-03
Earth,247.2,5.8036e-03
Earth,241.7,8.1354e-03
Earth,236.5,1.1415e-02
Earth,231.3,1.6015e-02
Earth,226.4,2.2470e-02
Earth,223.1,3.1498e-02
Earth,220.5,4.4194e-02
Earth,217.9,6.2005e-02
Earth,215.8,8.5762e-02
Earth,215.8,1.0955e-01
Earth,215.8,1.3335e-01
Earth,215.8,1.5718e-01
Earth,217.1,1.8085e-01
Earth,221.4,2.0458e-01
Earth,226.1,2.2834e-01
Earth,230.4,2.5216e-01
Earth,234.4,2.7597e-01
Earth,238.2,2.9961e-01
Earth,241.7,3.2355e-01
Earth,245.0,3.4721e-01
Earth,248.1,3.7095e-01
Earth,251.0,3.9489e-01
Earth,253.8,4.1849e-01
Earth,256.5,4.4234e-01
Earth,258.9,4.6628e-01
Earth,261.3,4.8976e-01
Earth,263.5,5.1352e-01
Earth,265.6,5.3745e-01
Earth,267.7,5.6101e-01
Earth,269.7,5.8507e-01
Earth,271.6,6.0854e-01
Earth,273.4,6.3236e-01
Earth,275.2,6.5655e-01
Earth,276.9,6.7982e-01
Earth,278.6,7.0394e-01
Earth,280.2,7.2761e-01
Earth,281.8,7.5138e-01
Earth,283.3,7.7525e-01
Earth,284.8,7.9917e-01
Earth,286.2,8.2235e-01
Earth,287.5,8.4620e-01
Earth,288.6,8.6997e-01
Earth,289.6,8.9362e-01
Earth,290.6,9.1789e-01
Earth,291.5,9.4115e-01
Earth,293.2,9.8943e-01
Earth,294.0,1.0127e+00
Titan,172.2,1.0000e-03
Titan,172.0,1.0799e-03
Titan,169.0,1.5004e-03
Titan,167.0,2.0604e-03
Titan,163.0,2.8600e-03
Titan,159.0,3.8996e-03
Titan,153.0,5.4081e-03
Titan,147.0,7.4203e-03
Titan,139.0,1.0402e-02
Titan,128.0,1.4699e-02
Titan,116.0,2.0995e-02
Titan,103.0,2.8909e-02
Titan,90.3,3.9488e-02
Titan,80.7,5.2605e-02
Titan,74.7,7.2371e-02
Titan,71.6,8.7777e-02
Titan,71.5,9.9294e-02
Titan,71.4,1.1202e-01
Titan,71.2,1.2695e-01
Titan,71.4,1.6304e-01
Titan,71.7,1.8493e-01
Titan,71.9,2.0995e-01
Titan,72.3,2.3792e-01
Titan,72.9,2.6891e-01
Titan,73.5,3.0392e-01
Titan,74.2,3.4381e-01
Titan,75.1,3.8893e-01
Titan,76.2,4.3801e-01
Titan,77.0,4.9371e-01
Titan,78.2,5.5601e-01
Titan,79.5,6.2507e-01
